trade_execution_identifier,trade_execution_event_number,trade_execution_event_type_code,trade_execution_date,trade_execution_time,trade_execution_event_date,trade_execution_event_time,trade_allocation_relationship_code,allocated_trade_execution_id,allocated_trade_execution_date,trade_purpose,firm_identifier,originator_identifier,originator_system,originating_organization_identifier,submission_channel,automated_channel,solicited_indicator,system_entry_date,system_entry_time,trade_approval_indicator,buyer_identifier,buyer_account_identifier,buyer_type_code,buyer_organization,seller_identifier,seller_account,seller_type_code,seller_organization,seller_position_code,customer_accounting,customer_position,security_identifier,security_short_name,isin_identifier,product_category,product_type,product_subtype,market_identifier,unit_quantity,price_issuing,price_base,trade_execution_currency,principal_amount_issuing,principal_amount_base,yield_percentage,yield_method_code,agent_identifier,executing_desk_identifier,executing_sub_desk_identifier,executing_desk_country_code,trading_account,trader_position,trader_position_code,commission_amount_issuing,commission_amount_base,mutual_fund_load_fee_issuing,mutual_fund_load_fee_base,riskless_principal_indicator,riskless_principal_reference_identifier,settlement_date,nonstandard_settlement_indicator,settlement_type,settlement_currency,settlement_instruction,order_identifier,order_placement_date,order_execution_sequence_number,source_system_order_remaining_unit_qty,structured_deal,ipo_indicator,new_issue_indicator,replaced_trade_execution_identifier,replaced_trade_execution_date,cancellation_or_correction_reason,business_domain,jurisdiction,source_system
10000,1,NW,2019-03-15,10:16:22-04:00:00,2019-03-15,10:16:22-04:00:00,S,,,TRADE,C:009877665,S:KarenScott,Z-EMS,,,,,2019-03-15,10:18:37-04:00:00,Y,S:KarenScott,C:009877665,CI,,NYSE,,XC,,L,,,C.N,C,US1729674242,EQT,Common Stock,,NYSE,200,64.11,64.11,USD,12822,12822.0,,,S:KarenScott,PROP01,ARBITRAGE99,USA,T:002949898,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,1002,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2002,1,NW,2019-03-15,10:17:02-04:00:00,2019-03-15,10:17:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:002922222,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2002,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2002,2,CR,2019-03-15,10:17:02-04:00:00,2019-03-15,10:22:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:132238188,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2002,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
10001,1,NW,2019-03-15,10:16:22-04:00:00,2019-03-15,10:16:22-04:00:00,S,,,TRADE,C:009877665,S:KarenScott,Z-EMS,,,,,2019-03-15,10:18:37-04:00:00,Y,S:KarenScott,C:009877665,CI,,NYSE,,XC,,L,,,C.N,C,US1729674242,EQT,Common Stock,,NYSE,200,64.11,64.11,USD,12822,12822.0,,,S:KarenScott,PROP01,ARBITRAGE99,USA,T:002949898,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,1003,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2003,1,NW,2019-03-15,10:17:02-04:00:00,2019-03-15,10:17:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:002922222,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2003,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2003,2,CR,2019-03-15,10:17:02-04:00:00,2019-03-15,10:22:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:132238188,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2003,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
10002,1,NW,2019-03-15,10:16:22-04:00:00,2019-03-15,10:16:22-04:00:00,S,,,TRADE,C:009877665,S:KarenScott,Z-EMS,,,,,2019-03-15,10:18:37-04:00:00,Y,S:KarenScott,C:009877665,CI,,NYSE,,XC,,L,,,C.N,C,US1729674242,EQT,Common Stock,,NYSE,200,64.11,64.11,USD,12822,12822.0,,,S:KarenScott,PROP01,ARBITRAGE99,USA,T:002949898,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,1004,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2004,1,NW,2019-03-15,10:17:02-04:00:00,2019-03-15,10:17:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:002922222,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2004,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
2004,2,CR,2019-03-15,10:17:02-04:00:00,2019-03-15,10:22:02-04:00:00,S,,,TRADE,C:55255544,S:CarlMcGuire,Z-EMS,,,,,2019-03-15,10:20:12-04:00:00,Y,S:CarlMcGuire,C:55255544,CI,,NASQ,,XC,,L,,,MSFT.OQ,MSFT,US5949181045 ,EQT,Common Stock,,NASQ,3000,104.32,104.32,USD,312960,10882.6624,,,S:CarlMcGuire,PROP01,CASHEQ,USA,T:132238188,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,2004,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
10003,1,NW,2019-03-15,10:16:22-04:00:00,2019-03-15,10:16:22-04:00:00,S,,,TRADE,C:009877665,S:KarenScott,Z-EMS,,,,,2019-03-15,10:18:37-04:00:00,Y,S:KarenScott,C:009877665,CI,,NYSE,,XC,,L,,,C.N,C,US1729674242,EQT,Common Stock,,NYSE,200,64.11,64.11,USD,12822,12822.0,,,S:KarenScott,PROP01,ARBITRAGE99,USA,T:002949898,,,9.95,9.95,,,N,,2019-03-20,N,CASH,USD,Ensure settlement is done in USD,1005,2019-03-15,1,,,,,,,,,Institutional Client,Z-EMS
