account_id,account_type_id,account_status_id,product_type_id,customer_id,pin_number,nationality,primary_iden_doc,primary_iden_doc_id,secondary_iden_doc,secondary_iden_doc_id,account_open_date,account_number,opening_balance,current_balance,overdue_balance,overdue_date,currency_code,interest_type,interest_rate,load_date,load_id
101,101,101,101,97650978,3980,American,SSN,243-56-0909,PASSPORT,USN-125-67-4530,9/19/16,1256-1486-482,40000,10000,1000,1/21/17,USD,Simple,0.5,2017-03-01,0
102,101,102,102,23578087,9240,American,DL,P458-69-1659,PASSPORT,USN-125-67-4890,4/5/15,7849-0285-105,80000,20000,1500,2/9/16,USD,Compound,0.45,2017-03-01,0
103,102,102,103,46892471,1340,American,SSN,230-87-1954,DL,P294-22-4592,6/5/16,1640-7041-491,50000,15000,,,USD,Simple,0.5,2017-03-01,0
104,102,101,104,36915908,9570,American,DL,P651-54-8005,PASSPORT,USN-843-10-5632,5/24/14,3809-1078-254,30000,9000,,,USD,Simple,0.44,2017-03-01,0
105,101,101,105,28914897,7930,Canadian,PASSPORT,BAC-123-91-7940,DL,H34690329845,11/5/13,1097-6582-590,25000,8500,,,USD,Compound,0.6,2017-03-01,0
106,102,101,105,92843627,2281,British,PASSPORT,J-836-9895,DL,DAVID2943IFD09,4/21/01,1760-1852-698,35000,6000,5000,3/21/16,CAD,Simple,0.35,2017-03-01,0
107,102,101,104,38459011,3993,German,PASSPORT,C748TJIK2,DL,G0207882112,10/30/04,1970-4555-899,45000,6200,4300,9/30/15,CAD,Compound,0.25,2017-03-01,0
108,102,102,104,38720189,6954,American,SSN,230-87-1952,PASSPORT,340007237,3/3/17,1838-5694-849,55000,42000,,,CAD,Simple,0.55,2017-03-01,0
109,101,101,101,48690290,1617,American,SSN,230-97-1954,PASSPORT,341237237,9/26/15,8876-8024-429,60000,54000,,,CAD,Simple,0.2,2017-03-01,0
110,102,102,103,18293904,1495,Canadian,DL,D6101-40706-60905,PRN,XV-24-3853,5/25/05,1624-0742-062,65000,33000,,,GBP,Compound,0.3,2017-03-01,0
111,101,102,102,82384783,8588,American,SSN,240-87-1954,DL,P602-23-8005,7/8/16,5814-8777-951,70000,29900,,,GBP,Simple,0.5,2017-03-01,0
112,102,102,103,64778920,4016,German,PASSPORT,C748TJIK4,DL,G0207552112,3/22/03,6988-3552-298,75000,73100,7888,3/12/16,GBP,Compound,0.45,2017-03-01,0
113,102,101,102,78498430,5014,American,SSN,230-87-0867,PASSPORT,284890976,9/9/13,5950-8732-002,25500,12800,2500,1/9/16,EUR,Simple,0.5,2017-03-01,0
114,101,101,102,56729890,3328,American,SSN,195-87-0867,DL,P285-69-1733,1/27/12,9328-2377-226,35500,32250,12000,8/29/15,EUR,Simple,0.44,2017-03-01,0
115,101,102,101,51083830,7001,American,SSN,230-43-0867,PASSPORT,239549012,12/12/16,5829-4949-365,45500,22000,,,EUR,Compound,0.6,2017-03-01,0
116,102,101,104,68845859,3338,American,SSN,230-87-1115,DL,Q285-69-1733,2/13/16,6161-0773-138,55500,23100,,,MYR,Simple,0.35,2017-03-01,0
117,101,101,105,61254898,6074,American,SSN,187-87-0867,PASSPORT,465780018,7/30/15,7226-3782-765,60500,30890,,,MYR,Compound,0.25,2017-03-01,0
118,101,101,105,98327548,7545,Canadian,DL,D6101-40706-68734,PASSPORT,BPI-587-99-7940,9/1/10,1196-8648-189,65500,23431,,,MYR,Simple,0.55,2017-03-01,0
119,101,102,104,89601725,1843,Malaysian,PASSPORT,S0099960A,PRN,777-723-677,8/21/09,8441-9106-593,70500,36000,,,MYR,Simple,0.2,2017-03-01,0
120,102,102,102,55523789,9828,British,DL,MORGAN2940IFD09,PASSPORT,B-990-3835,7/20/09,4652-7758-422,75500,27300,,,MYR,Compound,0.3,2017-03-01,0
121,101,102,102,50283741,4646,British,PASSPORT,J-836-3835,DL,PIERCE2940IFD09,6/19/09,7582-5237-047,40500,32896,,,USD,Simple,0.5,2017-03-01,0
122,102,102,103,23193047,9198,Canadian,SSN,2183-48-2849,PRN,777-723-688,5/18/09,1404-6803-057,80500,40250,,,GBP,Compound,0.45,2017-03-01,0
123,102,101,101,37856901,4944,American,DL,P458-69-1733,SSN,230-03-1994,4/17/09,5431-8076-366,50500,16900,,,EUR,Simple,0.5,2017-03-01,0
124,102,101,101,68954463,2319,American,SSN,218-48-2849,PASSPORT,378590001,3/16/09,9975-0572-886,30500,22200,,,MYR,Simple,0.44,2017-03-01,0
125,102,101,103,84661530,4334,German,DL,B072RRE2155,PASSPORT,C749JKSDI3,8/30/10,1826-3244-457,16000,10000,,,MYR,Compound,0.6,2017-03-01,0
