transaction_id,transaction_type_id,account_id,transaction_date,from_account,to_account,amount_base_curr,amount_usd,currency_code,currency_rate,notes,load_date,load_id
8OP178303O0941675S,101,101,2016-01-01,1256-1486-482,1256-1486-482,340193,340193,USD,1,Following was a salary transaction,2017-03-01,0
0FM291525M9845967B,101,101,2016-02-01,1256-1486-482,7849-0285-105,268145,268145,USD,1,Following was a salary transaction,2017-03-01,0
7TA538780N2475562H,101,101,2016-03-01,1256-1486-482,1640-7041-491,647953,647953,USD,1,Following was a salary transaction,2017-03-01,0
3UP757366G6441841M,101,101,2016-04-01,1256-1486-482,3809-1078-254,833164,833164,USD,1,Following was a salary transaction,2017-03-01,0
8FJ860265J1741745X,101,101,2016-05-01,1256-1486-482,1097-6582-590,998149,998149,USD,1,Following was a salary transaction,2017-03-01,0
9BF935401P1140789P,101,101,2016-06-01,1256-1486-482,1760-1852-698,944113,944113,USD,1,Following was a salary transaction,2017-03-01,0
5UO156823Z3283190I,101,101,2016-07-01,1256-1486-482,1970-4555-899,827171,827171,USD,1,Following was a salary transaction,2017-03-01,0
0YS824545B2435446Z,101,101,2016-08-01,1256-1486-482,1838-5694-849,59117,59117,USD,1,Following was a salary transaction,2017-03-01,0
7TS598904L5384020C,101,101,2016-09-01,1256-1486-482,8876-8024-429,407151,407151,USD,1,Following was a salary transaction,2017-03-01,0
3CI677028V9499518A,101,101,2016-10-01,1256-1486-482,1624-0742-062,181055,181055,USD,1,Following was a salary transaction,2017-03-01,0
8DM463618J6745543N,101,101,2016-11-01,1256-1486-482,5814-8777-951,830292,830292,USD,1,Following was a salary transaction,2017-03-01,0
9BB225681I8486821E,101,101,2016-12-01,1256-1486-482,6988-3552-298,185071,185071,USD,1,Following was a salary transaction,2017-03-01,0
6QY424583G3320712B,101,101,2017-01-01,1256-1486-482,5950-8732-002,219087,219087,USD,1,Following was a salary transaction,2017-03-01,0
1GF670790I3621722C,101,101,2017-02-01,1256-1486-482,9328-2377-226,983371,983371,USD,1,Following was a salary transaction,2017-03-01,0
4OD991779T6915633Z,101,101,2017-03-01,1256-1486-482,5829-4949-365,497993,497993,USD,1,Following was a salary transaction,2017-03-01,0
2EC411268M6953708T,101,101,2017-04-01,1256-1486-482,6161-0773-138,786270,786270,USD,1,Following was a salary transaction,2017-03-01,0
5CG838030F8884972F,101,101,2017-05-01,1256-1486-482,7226-3782-765,827730,827730,USD,1,Following was a salary transaction,2017-03-01,0
9CH661672N1065431J,101,101,2017-06-01,1256-1486-482,1196-8648-189,403745,403745,USD,1,Following was a salary transaction,2017-03-01,0
7SZ021061X5392419J,101,101,2017-07-01,1256-1486-482,8441-9106-593,846378,846378,USD,1,Following was a salary transaction,2017-03-01,0
8FY904497A6427214I,101,101,2017-08-01,1256-1486-482,4652-7758-422,774522,774522,USD,1,Following was a salary transaction,2017-03-01,0
1SI936005X7664705K,101,101,2017-09-01,1256-1486-482,7582-5237-047,671905,671905,USD,1,Following was a salary transaction,2017-03-01,0
8VA039597Y0042523F,101,101,2017-10-01,1256-1486-482,1404-6803-057,656365,656365,USD,1,Following was a salary transaction,2017-03-01,0
6OX747648N0688350X,101,101,2017-11-01,1256-1486-482,5431-8076-366,533232,533232,USD,1,Following was a salary transaction,2017-03-01,0
4IX075309D3931960F,101,101,2017-12-01,1256-1486-482,9975-0572-886,797231,797231,USD,1,Following was a salary transaction,2017-03-01,0
3MD326227Z6763009S,101,101,2018-01-01,1256-1486-482,1826-3244-457,321653,321653,USD,1,Following was a salary transaction,2017-03-01,0
3NK868875Y3182720S,101,101,2018-02-01,1256-1486-482,1373-4166-311,300076,300076,USD,1,Following was a salary transaction,2017-03-01,0
0US026889C7212627F,101,101,2018-03-01,1256-1486-482,8003-1464-483,422109,422109,USD,1,Following was a salary transaction,2017-03-01,0
4SI459143Q6319258B,101,101,2018-04-01,1256-1486-482,7703-6885-245,768349,768349,USD,1,This was a loan installment,2017-03-01,0
6CH357931O5291284E,101,101,2018-05-01,1256-1486-482,3794-5251-130,127187,127187,USD,1,This was a loan installment,2017-03-01,0
6CH324752U2110926G,101,101,2018-06-01,1256-1486-482,7651-8952-057,8517,8517,USD,1,This was a loan installment,2017-03-01,0
5IM950873B0567423Y,101,102,2016-01-01,7849-0285-105,1256-1486-482,63562,63562,USD,1,This was a loan installment,2017-03-01,0
9FZ713242Y0193798B,101,102,2016-02-01,7849-0285-105,7849-0285-105,450367,450367,USD,1,This was a loan installment,2017-03-01,0
0KA415641Q6059894C,101,102,2016-03-01,7849-0285-105,1640-7041-491,189692,189692,USD,1,This was a loan installment,2017-03-01,0
2JZ564962C9628508V,101,102,2016-04-01,7849-0285-105,3809-1078-254,526844,526844,USD,1,This was a loan installment,2017-03-01,0
5UW063750P2748308R,101,102,2016-05-01,7849-0285-105,1097-6582-590,311289,311289,USD,1,This was a loan installment,2017-03-01,0
5GI920475Q1124527K,101,102,2016-06-01,7849-0285-105,1760-1852-698,464199,464199,USD,1,This was a loan installment,2017-03-01,0
0XY295392T0578589P,101,102,2016-07-01,7849-0285-105,1970-4555-899,957754,957754,USD,1,This was a loan installment,2017-03-01,0
7LC913121V7076570U,101,102,2016-08-01,7849-0285-105,1838-5694-849,809581,809581,USD,1,This was a loan installment,2017-03-01,0
2AM770188A8615819G,101,102,2016-09-01,7849-0285-105,8876-8024-429,900223,900223,USD,1,This was a loan installment,2017-03-01,0
7BA746776C8485786D,101,102,2016-10-01,7849-0285-105,1624-0742-062,819076,819076,USD,1,This was a loan installment,2017-03-01,0
1CR722999N1132360P,101,102,2016-11-01,7849-0285-105,5814-8777-951,332547,332547,USD,1,This was a loan installment,2017-03-01,0
9XX502627H5020463D,101,102,2016-12-01,7849-0285-105,6988-3552-298,986674,986674,USD,1,This was a loan installment,2017-03-01,0
9FC450282O1264155R,101,102,2017-01-01,7849-0285-105,5950-8732-002,226396,226396,USD,1,This was a loan installment,2017-03-01,0
9DO058549W2212781J,101,102,2017-02-01,7849-0285-105,9328-2377-226,152174,152174,USD,1,This was a loan installment,2017-03-01,0
2DX881369E7453640S,101,102,2017-03-01,7849-0285-105,5829-4949-365,178701,178701,USD,1,This was a loan installment,2017-03-01,0
2LE776851W2981473G,101,102,2017-04-01,7849-0285-105,6161-0773-138,958009,958009,USD,1,This was a loan installment,2017-03-01,0
4RA875365G7297127M,101,102,2017-05-01,7849-0285-105,7226-3782-765,548682,548682,USD,1,This was a loan installment,2017-03-01,0
9IP692577R7269320S,101,102,2017-06-01,7849-0285-105,1196-8648-189,613364,613364,USD,1,This was a loan installment,2017-03-01,0
9MW313600Z0046491T,101,102,2017-07-01,7849-0285-105,8441-9106-593,469424,469424,USD,1,This was a loan installment,2017-03-01,0
7IJ132365Z5080279V,101,102,2017-08-01,7849-0285-105,4652-7758-422,891064,891064,USD,1,This was a loan installment,2017-03-01,0
9IF729742V4423347S,101,102,2017-09-01,7849-0285-105,7582-5237-047,669499,669499,USD,1,This was a loan installment,2017-03-01,0
7BA324601U9805098B,101,102,2017-10-01,7849-0285-105,1404-6803-057,70101,70101,USD,1,This was a loan installment,2017-03-01,0
4MQ596748K2693385Y,101,102,2017-11-01,7849-0285-105,5431-8076-366,480100,480100,USD,1,This was a loan installment,2017-03-01,0
6ZJ426575I5418675P,101,102,2017-12-01,7849-0285-105,9975-0572-886,663391,663391,USD,1,This was a loan installment,2017-03-01,0
6YZ967698Z7096416X,101,102,2018-01-01,7849-0285-105,1826-3244-457,620306,620306,USD,1,This was a credit card statement repayment,2017-03-01,0
1IZ074143S7127280B,101,102,2018-02-01,7849-0285-105,1373-4166-311,615696,615696,USD,1,This was a credit card statement repayment,2017-03-01,0
5TA637727H8647489O,101,102,2018-03-01,7849-0285-105,8003-1464-483,185053,185053,USD,1,This was a credit card statement repayment,2017-03-01,0
9ZA746126Y5718903W,101,102,2018-04-01,7849-0285-105,7703-6885-245,601760,601760,USD,1,This was a credit card statement repayment,2017-03-01,0
6XU254082B6331211U,101,102,2018-05-01,7849-0285-105,3794-5251-130,574440,574440,USD,1,This was a credit card statement repayment,2017-03-01,0
2JJ542481G8115330F,101,102,2018-06-01,7849-0285-105,7651-8952-057,904379,904379,USD,1,This was a credit card statement repayment,2017-03-01,0
2HH243584M5746533L,101,103,2016-01-01,1640-7041-491,1256-1486-482,465297,465297,USD,1,This was a credit card statement repayment,2017-03-01,0
6WQ585642I7869594W,101,103,2016-02-01,1640-7041-491,7849-0285-105,452404,452404,USD,1,This was a credit card statement repayment,2017-03-01,0
6CV912749R3005294G,101,103,2016-03-01,1640-7041-491,1640-7041-491,581149,581149,USD,1,This was a credit card statement repayment,2017-03-01,0
5IJ456572S3248888T,101,103,2016-04-01,1640-7041-491,3809-1078-254,746110,746110,USD,1,This was a credit card statement repayment,2017-03-01,0
6WU387601B5154916T,101,103,2016-05-01,1640-7041-491,1097-6582-590,930559,930559,USD,1,This was a credit card statement repayment,2017-03-01,0
0TE504632U1508892L,101,103,2016-06-01,1640-7041-491,1760-1852-698,493186,493186,USD,1,This was a credit card statement repayment,2017-03-01,0
1SR716753C4765155A,101,103,2016-07-01,1640-7041-491,1970-4555-899,636821,636821,USD,1,This was a credit card statement repayment,2017-03-01,0
1UF960063X1978946L,101,103,2016-08-01,1640-7041-491,1838-5694-849,461217,461217,USD,1,This was a credit card statement repayment,2017-03-01,0
