transaction_id,account_id,customer_id,transaction_type_code,transaction_date,transaction_country,sender_country,reciever_country,amount_usd,sender_name,reciever_name,sender_address,reciever_address
09775865-0033-4433-8bde-547eb2e6334c,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,CA,04/01/2018,AFG,AFG,KOREA,32000,AAFIA SIDDIQUE BRIGADE,Lily Brown,"Tulkarim, West Bank","1530 3RD AVE S,BIRMINGHAM"
3dcbc3a7-8371-4e14-8c23-c39ac26cd578,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,CA,04/01/2018,AFG,AFG,USA,4500,HASAN DUKHAN,Reuben Poole,d. 33 ul. Shcheglovskaya Zaseka,"1530 3RD AVE S,BIRMINGHAM"
50dc3ef9-719d-4e78-ba45-b0c341f36fe6,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,CA,05/01/2018,USA,USA,IND,6533,Grace Anderson,Lily Brown,"1530 3RD AVE S,BIRMINGHAM","8100 W 78TH ST,MINNEAPOLIS"
a592eb92-c0f4-4b8f-93ed-fb64dc129b0a,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,CA,05/01/2018,KOREA,KOREA,AFG,345000,Mark Olsen,AAFIA SIDQUE BRIGADE,"1 HOSPITAL DR SW,HUNTSVILLE",DOB 1955; HAMAS - Hebron.
b2bb736b-20e2-445c-b7c2-276c999f18f7,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,CA,06/01/2018,IND,IND,IND,42300,Angela Pitt,Grace Anderson,"4145 CARMICHAEL RD,MONTGOMERY","1530 3RD AVE S,BIRMINGHAM"
b7eb2455-bf82-4589-a723-8d8871190e12,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,CA,06/01/2018,IND,IND,USA,3000,Grace Anderson,John Davis,"8100 W 78TH ST,MINNEAPOLIS","4145 CARMICHAEL RD,MONTGOMERY"
0d864f75-70ab-4441-90b3-0214fb7b93b6,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,WR,04/01/2018,KOREA,KOREA,USA,4570,John Davis,Lily Brown,"7191 CAHABA VALLEY RD,BIRMINGHAM","8100 W 78TH ST,MINNEAPOLIS"
26b75f0d-2818-47fa-8163-6cd8db4f21bb,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,WR,04/01/2018,IND,IND,IND,1000,Lily Brown,Reuben Poole,"1200 S FARMERVILLE ST,RUSTON","7191 CAHABA VALLEY RD,BIRMINGHAM"
2d0138b0-1d5f-4d2e-85d6-0165972f2f47,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,WR,05/01/2018,AFG,AFG,USA,35440,"DAHBOUR, Ibrahim Mohmed",Kirk Velasquez,"Khan Younis, West Bank","1200 S FARMERVILLE ST,RUSTON"
4a60fba7-bf4d-4b56-a94a-97ed5f1ba7cf,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,WR,05/01/2018,USA,USA,IND,34550,Reuben Poole,Fletcher Camacho,"Yaroslavskaya Street, Building 50, Room 208","1530 3RD AVE S,BIRMINGHAM"
ced6d1fb-a51b-40a2-9895-0dd959d7f094,4d4a9897-1f2a-43ec-ae2b-eb25d45885f8,38720189,WR,06/01/2018,IND,IND,USA,45430,Kirk Velasquez,Fletcher Camacho,"5653 FRIST BLVD,HERMITAGE","5129 DIXIE HWY,LOUISVILLE"
f76f4571-e6e4-40ba-b070-b07b11ee3880,2c9024c6-5db6-40fe-8f79-d6c889404db9,82384783,WR,06/01/2018,USA,USA,AFG,540,Fletcher Camacho,"DAHBOUR, Ibrahim Mohammed","833 PRINCETON AVE SW,BIRMINGHAM","DOB 1953; POB Ramallah, West Bank; HAMAS - Ramallah."
